iter	Passed	Remaining
804	1249	302
805	1250	301
806	1252	299
807	1253	297
808	1254	296
809	1256	294
810	1257	293
811	1259	291
812	1260	289
813	1261	288
814	1263	286
815	1264	285
816	1266	283
817	1267	282
818	1269	280
819	1270	278
820	1272	277
821	1273	275
822	1274	274
823	1276	272
824	1277	271
825	1278	269
826	1279	267
827	1281	266
828	1282	264
829	1284	263
830	1285	261
831	1287	259
832	1288	258
833	1290	256
834	1291	255
835	1293	253
836	1294	252
837	1296	250
838	1297	249
839	1299	247
840	1300	245
841	1301	244
842	1302	242
843	1304	241
844	1305	239
845	1307	237
846	1308	236
847	1310	234
848	1311	233
849	1312	231
850	1314	230
851	1315	228
852	1317	227
853	1319	225
854	1320	223
855	1322	222
856	1323	220
857	1325	219
858	1326	217
859	1327	216
860	1329	214
861	1330	213
862	1332	211
863	1333	209
864	1335	208
865	1336	206
866	1338	205
867	1339	203
868	1340	202
869	1342	200
870	1343	199
871	1345	197
872	1346	195
873	1348	194
874	1349	192
875	1351	191
876	1352	189
877	1353	188
878	1355	186
879	1356	184
880	1357	183
881	1359	181
882	1360	180
883	1362	178
884	1363	177
885	1364	175
886	1366	174
887	1367	172
888	1368	170
889	1370	169
890	1371	167
891	1373	166
892	1374	164
893	1375	163
894	1377	161
895	1378	160
896	1380	158
897	1381	156
898	1383	155
899	1384	153
900	1386	152
901	1387	150
902	1388	149
903	1390	147
904	1391	146
905	1393	144
906	1394	142
907	1396	141
908	1398	139
909	1399	138
910	1401	136
911	1402	135
912	1403	133
913	1405	132
914	1406	130
915	1408	129
916	1409	127
917	1411	126
918	1412	124
919	1414	122
920	1415	121
921	1417	119
922	1418	118
923	1420	116
924	1421	115
925	1422	113
926	1424	112
927	1425	110
928	1427	109
929	1428	107
930	1430	106
931	1431	104
932	1433	102
933	1435	101
934	1437	99
935	1439	98
936	1441	96
937	1443	95
938	1445	93
939	1447	92
940	1449	90
941	1450	89
942	1451	87
943	1453	86
944	1454	84
945	1456	83
946	1457	81
947	1459	80
948	1461	78
949	1463	77
950	1464	75
951	1466	73
952	1467	72
953	1469	70
954	1470	69
955	1472	67
956	1473	66
957	1475	64
958	1476	63
959	1478	61
960	1479	60
961	1481	58
962	1482	56
963	1484	55
964	1485	53
965	1486	52
966	1488	50
967	1489	49
968	1491	47
969	1492	46
970	1494	44
971	1495	43
972	1497	41
973	1498	40
974	1499	38
975	1501	36
976	1502	35
977	1504	33
978	1506	32
979	1507	30
980	1508	29
981	1510	27
982	1511	26
983	1512	24
984	1513	23
985	1515	21
986	1516	19
987	1518	18
988	1519	16
989	1521	15
990	1522	13
991	1523	12
992	1525	10
993	1527	9
994	1528	7
995	1530	6
996	1531	4
997	1533	3
998	1534	1
999	1536	0
